LOT_ID,WAFER_ID,SITE_ID,EQUIPMENT_ID,RECIPE_ID,PROCESS_TIMESTAMP,RS_OHM_SQ
LOT-001,W01,S1,EQ-01,RCP-B,2026-08-20 05:30:00,120.002
LOT-001,W01,S2,EQ-01,RCP-B,2026-08-20 05:30:00,120.538
LOT-001,W01,S3,EQ-01,RCP-B,2026-08-20 05:30:00,119.507
LOT-001,W01,S4,EQ-01,RCP-B,2026-08-20 05:30:00,118.397
LOT-001,W01,S5,EQ-01,RCP-B,2026-08-20 05:30:00,119.182
LOT-001,W02,S1,EQ-01,RCP-B,2026-08-20 05:30:00,118.215
LOT-001,W02,S2,EQ-01,RCP-B,2026-08-20 05:30:00,120.108
LOT-001,W02,S3,EQ-01,RCP-B,2026-08-20 05:30:00,122.412
LOT-001,W02,S4,EQ-01,RCP-B,2026-08-20 05:30:00,119.114
LOT-001,W02,S5,EQ-01,RCP-B,2026-08-20 05:30:00,118.883
LOT-001,W03,S1,EQ-01,RCP-B,2026-08-20 05:30:00,120.882
LOT-001,W03,S2,EQ-01,RCP-B,2026-08-20 05:30:00,120.642
LOT-001,W03,S3,EQ-01,RCP-B,2026-08-20 05:30:00,120.19
LOT-001,W03,S4,EQ-01,RCP-B,2026-08-20 05:30:00,118.325
LOT-001,W03,S5,EQ-01,RCP-B,2026-08-20 05:30:00,119.947
LOT-001,W04,S1,EQ-01,RCP-B,2026-08-20 05:30:00,121.252
LOT-001,W04,S2,EQ-01,RCP-B,2026-08-20 05:30:00,117.58
LOT-001,W04,S3,EQ-01,RCP-B,2026-08-20 05:30:00,119.176
LOT-001,W04,S4,EQ-01,RCP-B,2026-08-20 05:30:00,116.578
LOT-001,W04,S5,EQ-01,RCP-B,2026-08-20 05:30:00,117.679
LOT-001,W05,S1,EQ-01,RCP-B,2026-08-20 05:30:00,116.685
LOT-001,W05,S2,EQ-01,RCP-B,2026-08-20 05:30:00,119.577
LOT-001,W05,S3,EQ-01,RCP-B,2026-08-20 05:30:00,117.719
LOT-001,W05,S4,EQ-01,RCP-B,2026-08-20 05:30:00,120.488
LOT-001,W05,S5,EQ-01,RCP-B,2026-08-20 05:30:00,120.282
LOT-002,W01,S1,EQ-02,RCP-A,2026-08-20 05:41:00,119.664
LOT-002,W01,S2,EQ-02,RCP-A,2026-08-20 05:41:00,115.47
LOT-002,W01,S3,EQ-02,RCP-A,2026-08-20 05:41:00,119.03
LOT-002,W01,S4,EQ-02,RCP-A,2026-08-20 05:41:00,119.913
LOT-002,W01,S5,EQ-02,RCP-A,2026-08-20 05:41:00,120.204
LOT-002,W02,S1,EQ-02,RCP-A,2026-08-20 05:41:00,117.246
LOT-002,W02,S2,EQ-02,RCP-A,2026-08-20 05:41:00,119.14
LOT-002,W02,S3,EQ-02,RCP-A,2026-08-20 05:41:00,118.239
LOT-002,W02,S4,EQ-02,RCP-A,2026-08-20 05:41:00,118.544
LOT-002,W02,S5,EQ-02,RCP-A,2026-08-20 05:41:00,121.91
LOT-002,W03,S1,EQ-02,RCP-A,2026-08-20 05:41:00,118.546
LOT-002,W03,S2,EQ-02,RCP-A,2026-08-20 05:41:00,119.941
LOT-002,W03,S3,EQ-02,RCP-A,2026-08-20 05:41:00,121.592
LOT-002,W03,S4,EQ-02,RCP-A,2026-08-20 05:41:00,118.95
LOT-002,W03,S5,EQ-02,RCP-A,2026-08-20 05:41:00,119.799
LOT-002,W04,S1,EQ-02,RCP-A,2026-08-20 05:41:00,120.199
LOT-002,W04,S2,EQ-02,RCP-A,2026-08-20 05:41:00,120.115
LOT-002,W04,S3,EQ-02,RCP-A,2026-08-20 05:41:00,117.795
LOT-002,W04,S4,EQ-02,RCP-A,2026-08-20 05:41:00,120.137
LOT-002,W04,S5,EQ-02,RCP-A,2026-08-20 05:41:00,122.446
LOT-002,W05,S1,EQ-02,RCP-A,2026-08-20 05:41:00,117.215
LOT-002,W05,S2,EQ-02,RCP-A,2026-08-20 05:41:00,121.547
LOT-002,W05,S3,EQ-02,RCP-A,2026-08-20 05:41:00,120.215
LOT-002,W05,S4,EQ-02,RCP-A,2026-08-20 05:41:00,118.845
LOT-002,W05,S5,EQ-02,RCP-A,2026-08-20 05:41:00,123.601
LOT-003,W01,S1,EQ-03,RCP-B,2026-08-20 05:52:00,121.372
LOT-003,W01,S2,EQ-03,RCP-B,2026-08-20 05:52:00,117.841
LOT-003,W01,S3,EQ-03,RCP-B,2026-08-20 05:52:00,120.134
LOT-003,W01,S4,EQ-03,RCP-B,2026-08-20 05:52:00,121.038
LOT-003,W01,S5,EQ-03,RCP-B,2026-08-20 05:52:00,119.66
LOT-003,W02,S1,EQ-03,RCP-B,2026-08-20 05:52:00,121.229
LOT-003,W02,S2,EQ-03,RCP-B,2026-08-20 05:52:00,119.88
LOT-003,W02,S3,EQ-03,RCP-B,2026-08-20 05:52:00,121.201
LOT-003,W02,S4,EQ-03,RCP-B,2026-08-20 05:52:00,122.589
LOT-003,W02,S5,EQ-03,RCP-B,2026-08-20 05:52:00,118.784
LOT-003,W03,S1,EQ-03,RCP-B,2026-08-20 05:52:00,120.366
LOT-003,W03,S2,EQ-03,RCP-B,2026-08-20 05:52:00,119.166
LOT-003,W03,S3,EQ-03,RCP-B,2026-08-20 05:52:00,120.229
LOT-003,W03,S4,EQ-03,RCP-B,2026-08-20 05:52:00,117.863
